group,delivery_method,date,total_riders,total_deliver
group_3,GENERAL_BICYCLES,day_05_21_,675 ,"7,364 "
group_3,KICKBOARD,day_05_21_,208 ,"2,287 "
group_3,PAS_BICYCLES,day_05_21_,"1,990 ","26,519 "
group_3,THROTTLE_BICYCLES,day_05_21_,"1,125 ","16,377 "
group_3,WALK,day_05_21_,"1,703 ","15,646 "
group_2,BIKE,day_05_22_,906 ,"5,880 "
group_2,CAR,day_05_22_,150 ,380 
group_2,GENERAL_BICYCLES,day_05_22_,64 ,162 
group_2,KICKBOARD,day_05_22_,21 ,71 
group_2,PAS_BICYCLES,day_05_22_,124 ,448 
group_2,THROTTLE_BICYCLES,day_05_22_,62 ,194 
group_2,WALK,day_05_22_,115 ,348 
group_3,BIKE,day_05_22_,"22,102 ","283,524 "
group_3,CAR,day_05_22_,"1,377 ","5,655 "
group_3,GENERAL_BICYCLES,day_05_22_,577 ,"3,154 "
group_3,KICKBOARD,day_05_22_,184 ,"1,318 "
group_3,PAS_BICYCLES,day_05_22_,"1,762 ","12,843 "
group_3,THROTTLE_BICYCLES,day_05_22_,965 ,"7,806 "
group_3,WALK,day_05_22_,"1,653 ","9,563 "
group_2,BIKE,day_05_23_,"1,151 ","7,984 "
group_2,CAR,day_05_23_,141 ,347 
group_2,GENERAL_BICYCLES,day_05_23_,66 ,167 
group_2,KICKBOARD,day_05_23_,33 ,126 
group_2,PAS_BICYCLES,day_05_23_,151 ,495 
group_2,THROTTLE_BICYCLES,day_05_23_,74 ,255 
group_2,WALK,day_05_23_,125 ,392 
group_3,BIKE,day_05_23_,"22,508 ","279,262 "
group_3,CAR,day_05_23_,"1,254 ","3,989 "
group_3,GENERAL_BICYCLES,day_05_23_,567 ,"2,691 "
group_3,KICKBOARD,day_05_23_,178 ,"1,114 "
group_3,PAS_BICYCLES,day_05_23_,"1,704 ","11,337 "
group_3,THROTTLE_BICYCLES,day_05_23_,"1,023 ","7,638 "
group_3,WALK,day_05_23_,"1,652 ","9,338 "
group_2,BIKE,day_05_24_,"1,491 ","11,449 "
group_2,CAR,day_05_24_,158 ,360 
group_2,GENERAL_BICYCLES,day_05_24_,60 ,181 
group_2,KICKBOARD,day_05_24_,38 ,128 
group_2,PAS_BICYCLES,day_05_24_,194 ,844 
group_2,THROTTLE_BICYCLES,day_05_24_,82 ,374 
group_2,WALK,day_05_24_,132 ,496 
group_3,BIKE,day_05_24_,"21,658 ","293,947 "
group_3,CAR,day_05_24_,"1,252 ","4,606 "
